"@timestamp per day","nlp_rating",Count
1549839600000,"-2",63
1549839600000,"-1",10
1549839600000,0,206
1549839600000,1,6
1549839600000,3,138
1549926000000,"-2",89
1549926000000,"-1",15
1549926000000,0,267
1549926000000,1,16
1549926000000,3,167
1550012400000,"-2",109
1550012400000,"-1",8
1550012400000,0,217
1550012400000,1,3
1550012400000,3,181
1550098800000,"-2",101
1550098800000,"-1",6
1550098800000,0,203
1550098800000,1,8
1550098800000,3,154
1550185200000,"-2",77
1550185200000,"-1",10
1550185200000,0,167
1550185200000,1,6
1550185200000,3,174
1550271600000,"-2",98
1550271600000,"-1",8
1550271600000,0,221
1550271600000,1,2
1550271600000,3,197
1550358000000,"-2",124
1550358000000,"-1",10
1550358000000,0,261
1550358000000,1,4
1550358000000,3,243
1550444400000,"-2",25
1550444400000,"-1",1
1550444400000,0,42
1550444400000,1,2
1550444400000,3,50
